itération;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42
optimality gap (value);7,6575E+14;-25045332341;1,35346E+12;4,66893E+11;2,21934E+11;2,00488E+11;93391138982;66534419056;23270671184;-90245841738;16028522439;15213902368;7091780528;3743341285;5000111045;2093369775;948047444,2;807434850,4;950988784,3;807472456,3;273595756,5;154593630,3;228371507,7;63413850,41;82387213,06;28415978,3;71630184,41;32592592,88;21018664,99;9155896,893;11959152,73;3205918,248;1995371,741;1617296,883;858149,493;1980718,143;542560,817;260912,04;237418,425;54362,048;19073,646;1,950012207
optimality gap (%);516704949%;-9285%;98%;94%;86%;83%;64%;43%;21%;-637643%;15%;14%;7%;4%;5%;2%;1%;1%;1%;1%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
